name,address,cuisine,region,lat,lng
The Patty Shop,4019 Macdonald St,Caribbean,Arbutus-Ridge,49.2507667,-123.1680264
Butter Baked Goods,4907 Mackenzie St,Bakery,Dunbar-Southlands,49.2421678,-123.1704101
La Buca,4025 MacDonald Street,Italian,Arbutus-Ridge,49.2506204,-123.1679983
Bufala,5395 West Blvd,Pizza,Arbutus-Ridge,49.2374814,-123.1556462
White Spot,5367 West Blvd,Burgers,Arbutus-Ridge,49.23766850000001,-123.1556307
Subway,4665 Arbutus Street,Sandwiches,Arbutus-Ridge,49.24397949999999,-123.1539879
Wakwak Burger,511 Granville St,Food Truck,Downtown,49.2845236,-123.1150798
A&W,"4255 Arbutus Street, #104",Fast Food,Arbutus-Ridge,49.2485248,-123.1540053
Van Den Bosch Bakery,4255 Arbutus Street,Bakery,Arbutus-Ridge,49.2485248,-123.1540053
Finest at Sea,4675 Arbutus Street,Seafood,Arbutus-Ridge,49.2444905,-123.1539172
Gotham Steakhouse & Cocktail Bar,615 Seymour St.,Steakhouse,Downtown,49.2828825,-123.1159646
Medina Café,780 Richards St,Breakfast,Downtown,49.280408,-123.1168648
Fanny Bay Oyster Bar,762 Cambie St,Seafood,Downtown,49.2786079,-123.1141059
Japadog,530 Robson St,Hot Dogs,Downtown,49.28022319999999,-123.1183207
Lupo,869 Hamilton St,Italian,Downtown,49.27819299999999,-123.1173485
Paramount Fine Foods,560 Robson St,Lebanese,Downtown,49.2803212,-123.1185948
Cartems Donuterie,534 W Pender St,Donuts,Downtown,49.2835993,-123.113811
Triple O's,700 Hamilton St. (inside CBC Vancouver),Burgers,Downtown,49.27952879999999,-123.1138787
Chambar,568 Beatty St,Belgian,Downtown,49.2801598,-123.109912
Finch’s Tea & Coffee House,353 W Pender St,Sandwiches,Downtown,49.2827746,-123.1116823
Gallery Café,750 Hornby St,Café,Downtown,49.2830077,-123.1208179
Hubbub Sandwiches,859 Hornby St,Sandwiches,Downtown,49.2819932,-123.1230964
Meat & Bread,370 Cambie St,Sandwiches,South Cambie,49.23398299999999,-123.116576
La Taqueria,322 W Hastings St,Mexican,Downtown,49.282903,-123.1105901
Tacofino,1025 Mainland St,Mexican,Downtown,49.27647109999999,-123.1195878
Five Guys,635 Robson Street,Burgers,Downtown,49.2810806,-123.119066
Bacchus Lounge,845 Hornby St,French,Downtown,49.2823626,-123.1228112
New Amsterdam Cafe,301 W Hastings,Café,Downtown,49.2829108,-123.1099049
PureBread,159 W. Hastings DT,Bakery,Downtown,49.2825319,-123.1090594
Blue Water Cafe + Raw Bar,1095 Hamilton St,Seafood,Downtown,49.276155,-123.1211291
Kokoro Tokyo Mazesoba,551 Seymore St,Noodles,Downtown,49.2834164,-123.1150628
Jam Cafe,556 Beatty St.,Breakfast,Downtown,49.280155,-123.1095422
The Parlour,1011 Hamilton St.,Italian,Downtown,49.27672099999999,-123.1201634
Baghdad Cafe,548 Seymour St.,Middle Eastern,Downtown,49.2834649,-123.1144324
Pizza Garden,675 Smithe St.,Pizza,Downtown,49.280165,-123.1209115
ZAC•ZAC Japanese Curry House,590 Robson Street,Japanese Curry,Downtown,49.2805271,-123.1187971
Small Victory Bakery,1088 Homer St,Bakery,Downtown,49.2765395,-123.1211149
The Poke Guy,420 Richards St,Poke Place,Downtown,49.28377039999999,-123.1120424
Le Crocodile Restaurant,909 Burrard St,French,West End,49.2823018,-123.1249281
Meinhardt,Granville,Deli,Downtown,49.2827291,-123.1207375
Hy's Steakhouse,637 Hornby St,Steakhouse,Downtown,49.2846711,-123.1193051
Minami,1118 Mainland St,Japanese,Downtown,49.2752011,-123.1207259
Jinya Ramen Bar,541 Robson St.,Japanese,Downtown,49.2803288,-123.1179083
Tacofino Cantina,Howe St.,Food Truck,Downtown,49.2807469,-123.1227452
hungry guys,988 Granville St,Mexican,Downtown,49.2792922,-123.1226648
Yolk's Breakfast,110 Dunsmuir St,Food Truck,Downtown,49.27904239999999,-123.1095277
Angus T,1036 Mainland Street,Bakery,Downtown,49.2759375,-123.1197949
La Taqueria Pinche Taco Shop,586 Hornby Street,Mexican,Downtown,49.28504119999999,-123.1178533
Shizen Ya,985 Hornby St,Japanese,Downtown,49.2807787,-123.1248703
The Pawn Shop,1117 Granville Street,Mexican,Downtown,49.2781493,-123.1252321
Joe Fortes Seafood & Chop House,777 Thurlow St,Seafood,West End,49.2849406,-123.1247733
Miku Restaurant,200 Granville Street,Japanese,Downtown,49.2868259,-123.112583
JOEY Burrard,820 Burrard St,New American,Downtown,49.282606,-123.1231879
Pholicious,550 W Hastings St,Vietnamese,Downtown,49.2841432,-123.1126064
Crave India,1019 Granville St.,Indian,Downtown,49.279099,-123.1235367
Pizzeria Ludica,189 Keefer Place,Pizza,Downtown,49.2800443,-123.1086181
La Terrazza Restaurant,1088 Cambie St.,Italian,Downtown,49.2749917,-123.1186413
49th Parallel & Lucky's Doughnuts,689 Thurlow,Donuts,Downtown,49.2860839,-123.1229468
Chipotle Mexican Grill,818 Howe St,Mexican,Downtown,49.28151250000001,-123.1210674
Pacifico Pizzeria Ristorante,970 Smithe St.,Italian,Downtown,49.2818429,-123.1240315
Peaceful Restaurant,602 Seymour St,Chinese,Downtown,49.28282,-123.1154086
Meat & Bread,1033 W Pender St,Sandwiches,Downtown,49.2873207,-123.1188383
Gyu-Kaku Japanese BBQ,G3-888 Nelson St.,Japanese,Downtown,49.2800583,-123.1252306
Twisted Fork Bistro,1147 Granville St,French,Downtown,49.2778708,-123.1256128
White Spot,405 Dunsmuir St,Burgers,Downtown,49.2819406,-123.1135203
The Mexican,1049 Granville St,Mexican,Downtown,49.2788282,-123.1240439
Eat Chicken Wraps,800 Howe Street,Food Truck,Downtown,49.2819092,-123.1208845
Nuba,207 W Hastings St,Middle Eastern,Downtown,49.28278599999999,-123.1097021
Caffè Artigiano,763 Hornby St,Café,Downtown,49.2831088,-123.1214374
The Templeton,1087 Granville St.,Diner,Downtown,49.278481,-123.124598
Nuba Café,508 Davie St,Middle Eastern,Downtown,49.2759072,-123.1246107
Indigo Age,436 Richard St,Vegetarian,Downtown,49.283463,-123.1125294
Vegan Pudding & Co.,422 Richards St,Vegetarian,Downtown,49.2836682,-123.1121414
Coast Restaurant,1054 Alberni St.,Seafood,West End,49.2846237,-123.1232331
Pokerrito,Hornby St,Hawaiian,Downtown,49.2805474,-123.1250074
Boulevard Kitchen & Oyster Bar,845 Burrard Street,Seafood,West End,49.2830751,-123.1239084
Faubourg Paris,769 Hornby St,Café,Downtown,49.2830662,-123.1214307
Fresh Sushi,909 Expo Blvd.,Japanese,Downtown,49.2756851,-123.1154129
Meet in Gastown,12 Water St,Vegetarian,Downtown,49.2834276,-123.1048588
Per Se Social Corner,891 Homer St.,Café,Downtown,49.2786163,-123.1184615
Yamato Sushi,616 Davie St,Japanese,Downtown,49.2766291,-123.125616
Cactus Club Cafe,588 Burrard St,American,Downtown,49.2854558,-123.118732
Ebar,799 Robson Street,Café,Downtown,49.2819563,-123.120054
Sala Thai,102-888 Burrard St,Thai,Downtown,49.2881028,-123.1159761
Rodney's Oyster House,1228 Hamilton St,Seafood,Downtown,49.2743299,-123.1231956
Koala Kebabs Donairs,519 West Pender,Falafel,Downtown,49.2837542,-123.1130544
Manoush'eh,620 Davie St.,Lebanese,Downtown,49.27667880000001,-123.1256815
Guu Original,838 Thurlow St.,Japanese,West End,49.2840076,-123.1254334
CinCin,1154 Robson St,Italian,West End,49.285261,-123.1261391
Einstein Wrap House,516 Abbott St,Falafel,Downtown,49.28062260000001,-123.1074519
Cioppino's,1133 Hamilton St,Mediterranean,Downtown,49.2757752,-123.121939
Provence Marinaside Seafood Restaurant Bar & Grill,1177 Marinaside Crescent,French,Downtown,49.2733234,-123.119583
WildTale Coastal Grill,1079 Mainland,Seafood,Downtown,49.2759291,-123.1203252
Kobe Japanese Steakhouse,1042 Alberni St,Steakhouse,West End,49.2845448,-123.1231404
Tractor,335 Burrard Street,Cafeteria,Downtown,49.2875834,-123.1167499
Red Robin Gourmet Burgers and Brews,803 Thurlow Street,Burgers,West End,49.2845862,-123.1252497
Scoozis,445 Howe St.,Mediterranean,Downtown,49.2859071,-123.115404
Tacofino Taco Bar,15 W Cordova St,Mexican,Downtown,49.2827731,-123.1047979
Gyu-Kaku Japanese BBQ,201 - 950 W Broadway St,BBQ,Fairview,49.2632584,-123.1257975
Shi Zen Ya,1102 West Broadway,Japanese,Fairview,49.2633113,-123.1292396
Slickity Jim's Chat & Choux,1387 West 7th Ave,Breakfast,Fairview,49.2654301,-123.1357879
Beaucoup Bakery,2150 Fir St,Bakery,Fairview,49.2664597,-123.1407911
Café Salade de Fruits,1551 W 7th Ave,French,Fairview,49.2655967,-123.1400538
Masa Japanese Restaurant,1414 West Broadway,Japanese,Fairview,49.2634203,-123.1366112
Suika,1626 W Broadway,Japanese,Fairview,49.2634105,-123.1416899
Paul's Place Omelettery Restaurant,2211 Granville St.,Breakfast,Fairview,49.2659984,-123.1387561
SushiVan,2566 Granville St,Japanese,Fairview,49.26296319999999,-123.1383187
Oyama Sausage,1689 Johnston St,Deli,Fairview,49.2727014,-123.1352146
A Bread Affair,1680 Johnston St,Bakery,Fairview,49.2724853,-123.1358648
Small Victory,3070 Granville street,Bakery,Fairview,49.2583008,-123.1385395
Red Ginger Asian Cuisine,967 W Broadway,Asian,Fairview,49.2635515,-123.1256451
Siegel’s Bagels,1698 Johnston St,Bagels,Fairview,49.2726696,-123.1359137
A Taste of Vietnam,1016 W Broadway,Vietnamese,Fairview,49.2631256,-123.1270799
Lee's Donuts,1689 Johnson St,Donuts,Fairview,49.2727014,-123.1352146
Off the Tracks Espresso Bar & Bistro,1363 Railspur Alley,Café,Fairview,49.2704673,-123.1337891
Kaya Malay Bistro,1063 West Broadway,Asian,Fairview,49.2636018,-123.1280703
Lin's Chinese Cuisine and Tea House,1537 W. Broadway,Chinese,Fairview,49.26377309999999,-123.1397224
Caffè Cittadella,2310 Ash St,Café,Fairview,49.264775,-123.117217
Go Fish,1505 W 1st Ave,Seafood,Fairview,49.2724945,-123.1404146
Banana Leaf,820 West Broadway,Malay,Fairview,49.2631202,-123.1224844
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian,Fairview,49.2609126,-123.1391689
Vancouver Fish Co.,1517 Anderson Street,Seafood,Fairview,49.2705997,-123.1365764
Edible Canada at the Market,1596 Johnston St.,Gastropub,Fairview,49.2716722,-123.1348861
Cactus Club Cafe,1530 W Broadway,American,Fairview,49.26343869999999,-123.1395482
Afghan Horsemen Restaurant,202-1833 Anderson Street,Middle Eastern,Fairview,49.2693903,-123.1389283
Dynasty Seafood Restaurant 皇朝海鮮酒家,108-777 W Broadway,Chinese,Fairview,49.2637681,-123.1216281
B-Bin,3098 Oak Street,Japanese,Fairview,49.2577393,-123.1267423
liquids+solids,1550 W Broadway,Café,Fairview,49.2634672,-123.1400913
The Sandbar Seafood Restaurant,1536 Johnston St.,Seafood,Fairview,49.2712072,-123.1343241
Breakfast Table,1481 West Broadway,Breakfast,Fairview,49.2637878,-123.1377917
Royal Seoul House Korean Restaurant,100 - 1215 W Broadway,Korean,Fairview,49.2635592,-123.1450448
Dockside Restaurant,1253 Johnston St,Seafood,Fairview,49.26948600000001,-123.131177
Raga Restaurant,1177 Broadway W,Indian,Fairview,49.2637614,-123.1305469
Bin 4,2996 Granville Street,Burgers,Fairview,49.2590704,-123.1384745
Cactus Club Cafe,575 West Broadway,American,Fairview,49.2634554,-123.1171839
Tony's Fish & Oyster Café,1511 Anderson St,Seafood,Fairview,49.2707061,-123.1364206
Vivanty's,802 West Broadway,Sandwiches,Fairview,49.2631709,-123.1221441
Prado Cafe,1809 Fir Street,Café,Fairview,49.2694391,-123.1409639
De Dutch,3192 Oak St.,Breakfast,Fairview,49.25726419999999,-123.1270022
Jitlada,1459 Broadway West,Thai,Fairview,49.2637441,-123.1373983
Flying Swan Coffeehouse,1724 West 4th Avenue,Breakfast,Fairview,49.2678694,-123.143856
Yanaki Sushi,816 W 6th Ave.,Japanese,Fairview,49.26571999999999,-123.1223239
Gourmet Wok,1689 Johnston Street,Chinese,Fairview,49.2727014,-123.1352146
Duke's On Broadway,736 W Broadway,Diner,Fairview,49.263078,-123.1210049
Sushi Dragon,614 W Broadway,Japanese,Fairview,49.2630952,-123.1182667
Branas Mediterranean Grill,617 Stamps Landing,Mediterranean,Fairview,49.26850049999999,-123.1187213
Bridges Restaurant,1696 Duranleau St,American,Fairview,49.272817,-123.1364204
Earls,1601 W Broadway,American,Fairview,49.2639631,-123.1414827
Donair Spot,806 West Broadway,Falafel,Fairview,49.2630496,-123.1222281
Max's Bakery & Delicatessen,3105 Oak Street,Bakery,Fairview,49.2575721,-123.1275238
The Market Grill,104 - 1689 Johnston St,Burgers,Fairview,49.2715205,-123.1341702
Subway,1288 W Broadway,Sandwiches,Fairview,49.2633442,-123.1329176
Szechuan Chili Restaurant,804 W 6th Ave.,Szechuan,Fairview,49.265607,-123.121984
À La Mode,137 - 1689 Johnston St,Café,Fairview,49.2727014,-123.1352146
Caffé Barney,2975 Granville St.,Breakfast,Fairview,49.25918009999999,-123.1391536
The Marquis,2666 Granville St,Gastropub,Fairview,49.2621327,-123.1383634
Apollonia,1830 Fir Street,Greek,Fairview,49.2694416,-123.1406537
Tojo's Restaurant,1133 W Broadway,Japanese,Fairview,49.2636964,-123.1297159
Chang'An,1661 Granville St,Chinese,Downtown,49.27331299999999,-123.1326809
QQ Sushi,1640 W Broadway,Japanese,Fairview,49.2634926,-123.1419998
A&W,777 West Broadway,Fast Food,Fairview,49.2635975,-123.1213494
Subway,"700 West 6th Avenue, Retail Unit D",Sandwiches,Fairview,49.26555099999999,-123.1199986
Boston Pizza,190 - 1333 W Broadway,Pizza,Mount Pleasant,49.26312069999999,-123.1093472
Stock Market,1551 Johnston St,Soup,Fairview,49.27181479999999,-123.1344084
Ebisu on Broadway,B16 - 601 W. Broadway,Japanese,Fairview,49.2637363,-123.1180045
Panago Pizza,1278 W Broadway,Pizza,Fairview,49.2633586,-123.1328321
Tony's Coffee,805 west broadway,Café,Fairview,49.2638294,-123.1222828
Denny's,1759 West Broadway,Breakfast,Fairview,49.2638717,-123.1448243
Tomokazu,201-1128 W Broadway,Japanese,Fairview,49.2633333,-123.13
IHOP,200-950 W Broadway,Breakfast,Fairview,49.2630333,-123.1255056
Subway,102-1595 W Broadway,Sandwiches,Fairview,49.2638018,-123.1406688
Kisokoma,805 W Broadway,Japanese,Fairview,49.2638294,-123.1222828
Bella Pizza,2525 Hemlock St,Pizza,Fairview,49.263255,-123.136615
New India Buffet & Restaurant,#105 - 805 West Broadway,Indian,Fairview,49.2637957,-123.1221784
Ro Sushi,678 West Broadway,Japanese,Fairview,49.2631001,-123.1192423
Szechuan Chongqing Seafood Restaurant,#205-1668 W Broadway,Chinese,Fairview,49.2634294,-123.1423828
Salad Loop,2775 Laurel St,Salad,Fairview,49.261199,-123.1260659
Express Pho,1455 W Broadway,Vietnamese,Fairview,49.26372380000001,-123.1373524
Ichibankan Express,750 West Broadway,Japanese,Fairview,49.26301110000001,-123.1211867
Shanghai Lu Restaurant,705 W Broadway Street,Asian,Fairview,49.26361259999999,-123.1200751
Kyo Korean BBQ & Sushi,2-2993 Granville St.,Korean,Marpole,49.2101605,-123.1408864
Joons Kitchen,3093 Oak Street,Japanese,Fairview,49.2580519,-123.1271478
My Slice Pizza,1630 W Broadway,Pizza,Fairview,49.2635028,-123.1417719
Old Beijing Roast Duck,1643 West Broadway,Chinese,Fairview,49.2638967,-123.1421012
The Downlow Chicken Shack,905 Commercial Drive,Fried Chicken,Grandview-Woodland,49.27632699999999,-123.069732
Via Tevere,1190 Victoria Dr,Pizza,Grandview-Woodland,49.2738774,-123.0653991
Biercraft Tap And Tapas,1191 Commercial Dr.,Tapas,Grandview-Woodland,49.2740611,-123.0697946
Kin Kao,903 Commercial Dr,Thai,Grandview-Woodland,49.2763558,-123.0696924
Pepino’s,631 Commercial Drive,Italian,Grandview-Woodland,49.2788717,-123.0706063
A. Bosa And Company Ltd. Import Euro,562 Victoria Drive,Deli,Grandview-Woodland,49.2792444,-123.0654808
Havana,1212 Commercial Dr,Cuban,Grandview-Woodland,49.2737034,-123.0692115
Ginger Sushi,1437 Commercial Dr.,Japanese,Grandview-Woodland,49.2717096,-123.0697506
Sula Indian Restaurant,1128 Commercial Drive,Indian,Grandview-Woodland,49.2744339,-123.0691883
Fets Whisky Kitchen,1230 Commercial Dr.,Cajun,Grandview-Woodland,49.2735267,-123.0692475
Sunrise Pizza & Steak House,949 Commercial Dr,Pizza,Grandview-Woodland,49.2758896,-123.0696667
Tandoori Palace,1439 Commercial Dr,Indian,Grandview-Woodland,49.2716292,-123.0699829
Uprising Breads Bakery,1697 Venables St,Bakery,Grandview-Woodland,49.2767667,-123.070614
Fujiya,912 Clark Dr.,Japanese,Grandview-Woodland,49.2765541,-123.0768797
Absinthe Bistro,1260 Commercial Dr,French,Grandview-Woodland,49.27338,-123.0693298
Mr. Red Cafe,2234 E Hastings St,Vietnamese,Grandview-Woodland,49.2810132,-123.0591164
Famoso Neapolitan Pizzeria,1380 Commercial Dr,Pizza,Grandview-Woodland,49.2722609,-123.0692191
Tacofino Commissary,2327 E Hastings St,Mexican,Grandview-Woodland,49.28128419999999,-123.0575022
Black Rook Bakehouse,2141 East Hastings,Café,Grandview-Woodland,49.2813702,-123.0606091
Eternal Abundance,1025 Commercial Dr,Vegetarian,Grandview-Woodland,49.275432,-123.0698104
The Red Wagon,2296 E Hastings St,Breakfast,Grandview-Woodland,49.2810265,-123.0580193
La Grotta Del Formaggio,1791 Commercial Dr,Sandwiches,Grandview-Woodland,49.26884889999999,-123.0699837
Yolks,1598 E Hastings St,Breakfast,Grandview-Woodland,49.2811259,-123.072895
Scandilicious Commissary,25 Victoria Drive,Bakery,Grandview-Woodland,49.2843937,-123.065746
Joes Cafe,1150 Commercial drive,Café,Grandview-Woodland,49.27413199999999,-123.069351
Bistro Wagon Rouge,1869 Powell St,French,Grandview-Woodland,49.284784,-123.0662582
La Mezcaleria,1622 Commercial Dr,Mexican,Grandview-Woodland,49.2700977,-123.0692773
Volcano Sushi & Grill,1991 E. Hastings St.,Japanese,Grandview-Woodland,49.28152799999999,-123.063824
Fratelli Bakery,1795 Commercial Street,Bakery,Grandview-Woodland,49.26883309999999,-123.0698593
Kishimoto Japanese Kitchen & Sushi Bar,2054 Commercial Drive,Japanese,Grandview-Woodland,49.2667364,-123.0694112
Jackalope's Neighbourhood Dive,2257 E Hastings St,Southern / Soul,Grandview-Woodland,49.2812947,-123.0589523
Sopra Sotto Pizzeria,1550 Commercial Dr,Italian,Grandview-Woodland,49.2707941,-123.069405
East Cafe,2401 E Hastings St,Café,Hastings-Sunrise,49.28134619999999,-123.0562671
Truck Stop Cafe,1049 Clark Dr,Diner,Strathcona,49.27542039999999,-123.0776829
Rinconcito Salvadorean,2062 Commercial Dr,Latin American,Grandview-Woodland,49.2666037,-123.0695021
Roundel Cafe,2465 E Hastings St,Café,Hastings-Sunrise,49.28127809999999,-123.0553772
Cafe Du Soleil,1393 Commercial Dr,Vegetarian,Grandview-Woodland,49.272438,-123.069862
Marcello Pizzeria & Ristorante,1404 Commercial Dr,Italian,Grandview-Woodland,49.2720501,-123.0694232
Tatsu Japanese Bistro,1441 Commercial Dr.,Japanese,Grandview-Woodland,49.2716228,-123.0698886
What's Up? Hot Dog!,2481 E Hastings St,Hot Dogs,Hastings-Sunrise,49.2812846,-123.0550644
Babylon Café,1605 Commercial Dr,Middle Eastern,Grandview-Woodland,49.2703839,-123.069814
Aleph Eatery,1889 Powell St,Middle Eastern,Grandview-Woodland,49.2848444,-123.0659429
Cannibal Cafe,1818 Commercial Dr,Burgers,Grandview-Woodland,49.2683788,-123.0694713
Pizza Garden,1042 Commercial Dr.,Pizza,Grandview-Woodland,49.2750233,-123.0692198
Far Out Coffee Post,2173 Dundas St,Café,Grandview-Woodland,49.2849236,-123.0600312
Tamam Fine Palestinian Cuisine,2616 E Hastings St,Middle Eastern,Hastings-Sunrise,49.2809355,-123.051436
"J, N & Z Deli",1729 Commercial Dr.,Deli,Grandview-Woodland,49.2691136,-123.0698261
Siddhartha's,2066 Commercial Drive,Indian,Grandview-Woodland,49.2665657,-123.0695155
Koko,2053 Hastings Street East,Japanese,Grandview-Woodland,49.2813178,-123.0625702
Union Market,Union St,Deli,Strathcona,49.2775323,-123.0916297
Sushi Nanaimo,350 Nanaimo St,Japanese,Hastings-Sunrise,49.2815242,-123.0562663
Lombardo’s Pizzeria & Ristorante,1641 Commercial Dr,Italian,Grandview-Woodland,49.2700044,-123.0698928
The Daily Catch,1418 Commercial Drive,Seafood,Grandview-Woodland,49.2718176,-123.0693452
Deserts,905 Commercial Dr.,Indian,Grandview-Woodland,49.27632699999999,-123.069732
Fire Pizza,1918 Commercial Dr,Pizza,Grandview-Woodland,49.26740840000001,-123.0694962
Café Deux Soleils,2096 Commercial Dr.,Vegetarian,Grandview-Woodland,49.2660509,-123.0694337
Cabrito,2270 Commercial Dr,Tapas,Grandview-Woodland,49.2644738,-123.0695334
Five Elements Cafe,1046 Commercial Dr,Asian,Grandview-Woodland,49.2749731,-123.0693852
Belgian Fries,1885 Commercial Dr,Diner,Grandview-Woodland,49.267933,-123.0698877
X-site East Van,2270 Hastings Street East,Latin American,Grandview-Woodland,49.2810272,-123.0585509
Livia Bakery,1399 Commercial Dr,Bakery,Grandview-Woodland,49.2722878,-123.0697787
Le Petit Saigon,2783 E Hastings,Vietnamese,Hastings-Sunrise,49.281355,-123.0472672
Tangent Cafe,2095 Commercial Dr,Gastropub,Grandview-Woodland,49.2660675,-123.0699631
Carthage Cafe,1851 Commercial Dr,French,Grandview-Woodland,49.2681986,-123.0698366
Sake Maki,1414 Commercial Dr,Japanese,Grandview-Woodland,49.2718997,-123.0694427
Memphis Blues Barbeque House,1342 Commercial Dr,BBQ,Grandview-Woodland,49.2724944,-123.0692524
Vera's on the Drive,1438 Commercial Dr,Burgers,Grandview-Woodland,49.27164339999999,-123.0694547
Harambe Ethiopian Cuisine,2149 Commercial Drive,Ethiopian,Grandview-Woodland,49.26556679999999,-123.0699715
Addis Cafe,2017 Commercial Drive,Ethiopian,Grandview-Woodland,49.26653289999999,-123.0699021
Bao Chau,2717 E. Hastings St.,Vietnamese,Hastings-Sunrise,49.2812747,-123.0489068
Pig on the Street,Howe St,Food Truck,Downtown,49.2807469,-123.1227452
Take Thai Home,1736 Commercial Dr.,Thai,Grandview-Woodland,49.2689969,-123.0692568
Jamjar,2280 Commercial Dr,Lebanese,Grandview-Woodland,49.2643741,-123.0693441
On Lok Restaurant & Won-Tun House 安樂麵家,2010 E Hastings St.,Chinese,Grandview-Woodland,49.2808579,-123.0633045
Saloniki Greek Taverna,1815 Commercial Drive,Greek,Grandview-Woodland,49.2683534,-123.070115
Bai Bua Thai Cuisine,1-2443 E Hastings St,Thai,Hastings-Sunrise,49.2812869,-123.0556328
The Drive Coffee Bar,1670 Commercial Drive,Café,Grandview-Woodland,49.2699198,-123.0692781
