name,rating,review_count,lat,lng,region
A&W,3.2,86,49.2383732,-123.0317578,Renfrew-Collingwood
A&W Canada,3.5,56,49.2609881,-123.1164951,Fairview
A&W Canada,3.8,491,49.2627265,-123.0694772,Grandview-Woodland
A&W Canada,4.1,408,49.2192674,-123.0408866,Killarney
A&W Canada,3.7,312,49.2731373,-123.10036,Downtown
A&W Canada,3.9,234,49.279654,-123.117462,Downtown
A&W Canada,3.8,529,49.2859448,-123.1122271,Downtown
A&W Canada,3.9,154,49.2737759,-123.097836,Strathcona
A&W Canada,3.9,443,49.2633896,-123.1144524,Mount Pleasant
A&W Canada,3.7,355,49.2831921,-123.1154539,Downtown
A&W Canada,4.1,751,49.2719559,-123.1000013,Strathcona
A&W Canada,4.1,65,49.2866046,-123.118327,Downtown
A&W Canada,3.9,351,49.2635975,-123.1213494,Fairview
A&W Canada,3.8,138,49.2827092,-123.1188238,Downtown
A&W Canada,3.8,425,49.2817027,-123.1206368,Downtown
A&W Canada,4,459,49.209364,-123.116783,Marpole
A&W Canada,3.8,321,49.2787329,-123.1232913,Downtown
A&W Canada,3.9,300,49.2860922,-123.1252197,West End
A&W Canada,4.1,317,49.2880603,-123.1236062,Downtown
A&W Canada,4,363,49.2267627,-123.1289195,Oakridge
A&W Canada,3.9,262,49.2896798,-123.1386141,West End
A&W Canada,4,339,49.2679307,-123.1865956,West Point Grey
A&W Canada,3.7,93,49.2320456,-123.1186835,Oakridge
A&W Canada,3.7,697,49.2813825,-123.0630549,Grandview-Woodland
BeaverTails,5,21,49.2860651,-123.036971,Hastings-Sunrise
Big Smoke Burger,4.4,9,49.263056,-123.1152287,Fairview
Black & McDonald,3.9,8,49.2728606,-123.0774977,Strathcona
Bob Likes Thai Food,4.3,574,49.2637902,-123.1393566,Fairview
Bob Likes Thai Food.,4.3,516,49.2513423,-123.101333,Riley Park
Boiling Point,4.1,536,49.2482504,-123.1008849,Riley Park
Boston Pizza,3.8,527,49.2638726,-123.1342629,Fairview
Boston Pizza,3.7,835,49.2818577,-123.1234686,Downtown
Boston Pizza,3.9,937,49.2584746,-123.0306817,Renfrew-Collingwood
Boston Pizza,3.7,942,49.2771786,-123.1140883,Downtown
Browns Crafthouse,4.3,615,49.2837833,-123.1138739,Downtown
Browns Crafthouse Main Street,4.3,130,49.2565942,-123.1006208,Mount Pleasant
Bubble World,4,338,49.2874137,-123.1287899,West End
Bubble World Tea House,4.1,191,49.233055,-123.0330923,Renfrew-Collingwood
Burger King,3.2,522,49.2841199,-123.1142664,Downtown
Burger King,3.5,626,49.2812935,-123.1206157,Downtown
Burger King,2.6,189,49.2890249,-123.1383538,West End
Burgoo,4.3,399,49.2636512,-123.2071521,West Point Grey
Burgoo,4.4,616,49.2798451,-123.1276538,Downtown
Burgoo,4.4,1229,49.2576348,-123.1008393,Mount Pleasant
Burgoo Kitsilano,4.4,583,49.2679804,-123.1568339,Kitsilano
CRAFT Beer Market,5,1,49.2867672,-123.1422699,West End
CRAFT Beer Market Vancouver,4.4,5852,49.2705585,-123.1063764,Mount Pleasant
Cactus Club Cafe,4.2,372,49.2766199,-123.1001594,Downtown
Cactus Club Cafe Bentall 5,4.4,1876,49.2854558,-123.118732,Downtown
Cactus Club Cafe Broadway + Ash,4.3,1372,49.2634554,-123.1171839,Fairview
Cactus Club Cafe Coal Harbour,4.4,3740,49.2894022,-123.1180434,Downtown
Cactus Club Cafe English Bay,4.4,2287,49.2867391,-123.142725,West End
Cactus Club Cafe Robson,4.3,807,49.2850272,-123.126053,West End
Cactus Club Cafe West Broadway,4.3,855,49.2634387,-123.1395482,Fairview
Cactus Club Cafe Yaletown,4.2,1244,49.2750725,-123.1227615,Downtown
Carl's Jr.,4,701,49.2842809,-123.1179663,Downtown
Chef Hung Taiwanese Beef Noodle,3.8,244,49.2344053,-123.1529635,Kerrisdale
Chopped Leaf,4.1,182,49.279823,-123.1178853,Downtown
Church's Chicken,3.9,1496,49.2325792,-123.0901337,Sunset
Church's Chicken,4,972,49.2544611,-123.1012989,Riley Park
Church's Chicken,3.9,790,49.2809743,-123.0574231,Grandview-Woodland
Church's Chicken,3.9,1535,49.2399881,-123.0547464,Renfrew-Collingwood
Dairy Queen,3.7,517,49.2359167,-123.0447306,Renfrew-Collingwood
Dairy Queen,3.8,349,49.2642205,-123.1648956,Kitsilano
Dairy Queen (Treat),3.9,88,49.279616,-123.117389,Downtown
Dairy Queen (Treat),3.4,67,49.2833319,-123.1183909,Downtown
Dairy Queen (Treat),4.3,55,49.2740366,-123.1223558,Downtown
Dairy Queen (Treat),3.8,107,49.2348441,-123.1594056,Arbutus-Ridge
Dairy Queen (Treat),4.4,90,49.2567421,-123.1849081,Dunbar-Southlands
Dairy Queen Dairy Queen / Orange Julius,4,1,49.2833319,-123.1183909,Downtown
Dairy Queen Grill & Chill,3.8,351,49.2308508,-123.0909761,Sunset
Dairy Queen Grill & Chill,4.1,257,49.2594249,-123.1007522,Mount Pleasant
Dairy Queen Grill & Chill,3.7,317,49.239075,-123.0650184,Kensington-Cedar Cottage
Dairy Queen Grill & Chill,3.5,86,49.2812091,-123.0466884,Hastings-Sunrise
Dairy Queen Grill & Chill,3.5,86,49.2812091,-123.0466884,Hastings-Sunrise
Denny's,3.8,1809,49.2802006,-123.1311539,West End
Denny's,3.9,1672,49.2087907,-123.1193511,Marpole
Denny's,4,608,49.2638717,-123.1448243,Fairview
Domino's Pizza,3.4,148,49.2558103,-123.1848639,Dunbar-Southlands
Domino's Pizza,3.3,95,49.2917966,-123.1352624,West End
Domino's Pizza,4.1,56,49.2639972,-123.1713726,Kitsilano
Domino's Pizza,3.7,89,49.2851202,-123.0621365,Grandview-Woodland
Domino's Pizza,4,177,49.2510914,-123.0787992,Kensington-Cedar Cottage
Domino's Pizza,3.7,20,49.2626839,-123.0916553,Mount Pleasant
Domino's Pizza,3.4,38,49.2635833,-123.2069036,West Point Grey
Domino's Pizza,3.7,20,49.2626839,-123.0916553,Mount Pleasant
Domino's Pizza,3.7,247,49.2776825,-123.1249914,Downtown
Domino's Pizza,4,167,49.2334446,-123.0360016,Killarney
Earls Kitchen + Bar,4.2,1950,49.2815632,-123.123722,Downtown
Earls Kitchen + Bar,4,1372,49.2639631,-123.1414827,Fairview
Earls Kitchen + Bar,4.2,1359,49.2859397,-123.1263654,West End
Earls Kitchen + Bar,4.1,1772,49.2759437,-123.1208539,Downtown
Edo Japan,4.3,26,49.2833319,-123.1183909,Downtown
Fiore - South Granville,4.2,102,49.2608974,-123.1382242,Fairview
Fiore Famiglia,4.2,144,49.2578287,-123.1651169,Kitsilano
Fiore Republic Floral Design,5,103,49.2817891,-123.1024327,Downtown
Food Hall by ZUBU,3.4,14,49.2675831,-123.1086523,Mount Pleasant
Freshii,4.2,5,49.2663225,-123.0839328,Strathcona
Freshii,4.6,12,49.2769971,-123.1286647,Downtown
Freshii,4.9,26,49.2251807,-123.1018668,Sunset
Freshii,4.3,90,49.2682308,-123.1486199,Kitsilano
Freshii,4.3,34,49.2627376,-123.0997805,Mount Pleasant
Freshii,3.9,118,49.2872573,-123.1247192,Downtown
Freshii,4,137,49.2634909,-123.1170326,Fairview
Freshii,4.4,88,49.2639196,-123.1399451,Fairview
Freshii,3.8,217,49.2868494,-123.1145188,Downtown
Freshii,4,78,49.2597161,-123.0436942,Renfrew-Collingwood
Freshslice Pizza,4.4,298,49.2082081,-123.1401279,Marpole
Freshslice Pizza,4.2,195,49.2642232,-123.1382236,Fairview
Freshslice Pizza,4.3,142,49.2812847,-123.0538249,Hastings-Sunrise
Freshslice Pizza,4.1,194,49.2776383,-123.1266787,Downtown
Freshslice Pizza,4.3,122,49.2740454,-123.1221792,Downtown
Freshslice Pizza,4,269,49.2816213,-123.120527,Downtown
Freshslice Pizza,4.1,254,49.2099567,-123.1168429,Marpole
Freshslice Pizza,4.2,272,49.2792139,-123.1078386,Downtown
Freshslice Pizza,4,246,49.2630214,-123.1012976,Mount Pleasant
Freshslice Pizza,4,213,49.2838187,-123.1131301,Downtown
Freshslice Pizza,3.9,176,49.2615741,-123.0695128,Kensington-Cedar Cottage
Freshslice Pizza,4.3,289,49.2311839,-123.0657887,Victoria-Fraserview
Freshslice Pizza,4.5,174,49.2681947,-123.1859178,West Point Grey
Freshslice Pizza,4.1,246,49.258601,-123.04477,Renfrew-Collingwood
Freshslice Pizza,4.1,348,49.2378945,-123.0319888,Renfrew-Collingwood
Guu Davie,4.3,99,49.2823917,-123.1336009,West End
Guu Garden,4.2,921,49.2800364,-123.1252786,Downtown
Guu Original Thurlow,4.4,1223,49.2840076,-123.1254334,West End
Guu with Garlic,4.4,1063,49.2902019,-123.133953,West End
Guu with Otokomae,4.3,759,49.2848666,-123.1105007,Downtown
Gyu-Kaku Japanese BBQ,4.5,2244,49.2800601,-123.1252654,Downtown
Gyu-Kaku Japanese BBQ,4.5,1326,49.263169,-123.1255685,Fairview
Happy Lamb Hot Pot Vancouver 快乐小羊,4,574,49.2634447,-123.1454275,Fairview
Happy Tree House BBQ Kingsway,3.8,880,49.2318634,-123.0289157,Killarney
Hon's Wonton House - Broadway Station,4.4,32,49.2624895,-123.0707019,Grandview-Woodland
Hon's Wonton House - Olympic Village,3.8,209,49.2695381,-123.1041682,Mount Pleasant
Honolulu Cafe,3.6,797,49.2331602,-123.0345164,Killarney
Honolulu Coffee,4.3,308,49.234297,-123.1547419,Shaughnessy
Honolulu Coffee Nelson,4.4,382,49.2800601,-123.1252654,Downtown
Hubbub,4.1,128,49.2795506,-123.1172697,Downtown
Hubbub,4.3,311,49.2819932,-123.1230964,Downtown
IHOP,3.7,940,49.263169,-123.1255685,Fairview
JJ Bean Coffee Roasters,4.5,556,49.2751843,-123.1238523,Downtown
JJ Bean Coffee Roasters,4.4,187,49.2820396,-123.1137501,Downtown
JJ Bean Coffee Roasters,4.3,258,49.2828127,-123.1079504,Downtown
JJ Bean Coffee Roasters,4.2,366,49.2551248,-123.115465,South Cambie
JJ Bean Coffee Roasters,4.3,460,49.2864828,-123.1259039,West End
JJ Bean Coffee Roasters,4.4,356,49.2874716,-123.1170367,Downtown
JJ Bean Coffee Roasters,4.2,101,49.2727014,-123.1352146,Fairview
JJ Bean Coffee Roasters,4.3,716,49.2582219,-123.1007835,Mount Pleasant
JJ Bean Coffee Roasters,4.3,225,49.2467389,-123.0904299,Riley Park
JJ Bean Coffee Roasters,4.4,260,49.2861385,-123.1406269,West End
JJ Bean Coffee Roasters,4.6,42,49.2639242,-123.1704183,Kitsilano
JJ Bean Coffee Roasters,4.3,413,49.2701464,-123.1092165,Mount Pleasant
JJ Bean Coffee Roasters,4.3,1000,49.2649474,-123.0694113,Grandview-Woodland
JJ Bean Coffee Roasters,4.6,329,49.2845394,-123.0652519,Grandview-Woodland
JOEY Bentall One,4.3,1072,49.2864643,-123.1185573,Downtown
JOEY Burrard,4.3,1940,49.282606,-123.1231879,Downtown
KFC,3.3,471,49.2434777,-123.0622015,Kensington-Cedar Cottage
KFC,3.3,427,49.2256662,-123.0778129,Sunset
KFC,3.4,427,49.2626796,-123.0874839,Mount Pleasant
KFC,3,77,49.2320456,-123.1186835,Oakridge
KFC,3.3,502,49.2813111,-123.1322331,West End
Kafka's Coffee,4.5,87,49.2673543,-123.0904922,Strathcona
Kafka's Coffee,4.3,10,49.282578,-123.1088027,Downtown
Kafka's Coffee and Tea,4.3,587,49.2624754,-123.1011989,Mount Pleasant
Kirin Restaurant,3.7,817,49.286305,-123.1255378,West End
Kokomo,4.6,201,49.2791736,-123.0973488,Strathcona
Kokomo,4.6,93,49.2678921,-123.1573825,Kitsilano
La Taqueria Pinche Taco,4.6,880,49.282903,-123.1105901,Downtown
La Taqueria Pinche Taco Shop,4.3,1189,49.2850412,-123.1178533,Downtown
La Taqueria Pinche Taco Shop,4.4,1533,49.2635656,-123.1127251,Mount Pleasant
Little Caesars Pizza,3.4,85,49.2196088,-123.0407749,Killarney
Little Caesars Pizza,3.9,169,49.2808696,-123.0622011,Grandview-Woodland
Little Caesars Pizza,3.9,130,49.2307429,-123.0908638,Sunset
Liuyishou Hotpot Robson,3.9,433,49.288977,-123.1321299,West End
McDonald's,3.5,1131,49.2702657,-123.0999131,Strathcona
McDonald's,3.4,1573,49.2808895,-123.0305558,Hastings-Sunrise
McDonald's,3.4,1766,49.2659225,-123.0243296,Hastings-Sunrise
McDonald's,3.4,1984,49.2586651,-123.0436159,Renfrew-Collingwood
McDonald's,3.3,716,49.2617391,-123.0695017,Kensington-Cedar Cottage
McDonald's,3.2,1907,49.2452244,-123.0641417,Kensington-Cedar Cottage
McDonald's,3.3,758,49.2331558,-123.0658793,Kensington-Cedar Cottage
McDonald's,3.5,737,49.2183554,-123.0774499,Sunset
McDonald's,3.4,2946,49.2719008,-123.1006967,Mount Pleasant
McDonald's,3.5,554,49.245242,-123.1014882,Riley Park
McDonald's,3.6,1594,49.2118921,-123.1091875,Marpole
McDonald's,3.5,379,49.2635339,-123.1163501,Fairview
McDonald's,3.4,1766,49.2659225,-123.0243296,Hastings-Sunrise
McDonald's,3.5,486,49.2876106,-123.1150993,Downtown
McDonald's,3.1,731,49.2808066,-123.1072457,Downtown
McDonald's,3.4,329,49.2683903,-123.1594164,Kitsilano
McDonald's,3.2,1453,49.2349143,-123.1548416,Shaughnessy
McDonald's,3.4,542,49.2852383,-123.1389968,West End
McDonald's,3.3,486,49.2906461,-123.1338744,West End
McDonald's,3.5,713,49.2640213,-123.1781943,Kitsilano
McDonald's,3.4,554,49.2634253,-123.1379808,Fairview
McDonald's,3.6,991,49.2788171,-123.1154121,Downtown
McDonald's,3.4,1288,49.2806291,-123.1215045,Downtown
McDonald's,3.5,812,49.2853911,-123.1215501,Downtown
McDonald's,3.7,884,49.20607,-123.1255132,Marpole
Midam Cafe - Vancouver,4.6,59,49.2644249,-123.1764298,Kitsilano
Milestones,3.5,351,49.2744937,-123.0998609,Strathcona
Moxie's Grill & Bar,3.6,403,49.2788916,-123.1130907,Downtown
Moxie's Grill & Bar,3.9,448,49.2810568,-123.1327804,West End
Mr. Greek Donair Store,4.2,136,49.2640533,-123.0699273,Grandview-Woodland
Nando's Davie & Howe (Downtown),4.1,1241,49.2778637,-123.1276568,Downtown
Nando's Kerrisdale,4.1,681,49.2342436,-123.1540599,Kerrisdale
New York Fries - Pacific Centre,3.4,65,49.2827092,-123.1188238,Downtown
Nook,4.5,346,49.2917365,-123.1353449,West End
Nook,4.3,333,49.2694803,-123.1092073,Mount Pleasant
Nook,4.5,654,49.2722315,-123.155229,Kitsilano
Nuba Cafe and Catering in Mount Pleasant,4.3,621,49.2679671,-123.1017065,Mount Pleasant
Nuba in Gastown,4.4,2090,49.282786,-123.1097021,Downtown
Nuba in Kitsilano,4.2,724,49.2639376,-123.1745701,Kitsilano
Nuba in Yaletown,4.3,909,49.2759072,-123.1246107,Downtown
OPA!,3.7,117,49.2826923,-123.11814,Downtown
Panago Pizza,3.8,52,49.2633586,-123.1328321,Fairview
Panago Pizza,4.1,63,49.2111805,-123.1408436,Marpole
Panago Pizza,4,58,49.2737585,-123.1232841,Downtown
Panago Pizza,4.5,17,49.2058552,-123.0318989,Killarney
Panago Pizza,3.4,40,49.2642903,-123.1705284,Kitsilano
Panago Pizza,4.2,67,49.288546,-123.1226527,Downtown
Panago Pizza,3.7,60,49.28978,-123.1383661,West End
Panago Pizza,3.2,49,49.258807,-123.1008782,Mount Pleasant
Panago Pizza,3.5,54,49.272479,-123.0561534,Hastings-Sunrise
Panago Pizza,3.8,72,49.2314324,-123.0315171,Killarney
Panago Pizza,4.5,17,49.2058552,-123.0318989,Killarney
Panago Pizza,3.9,43,49.2100905,-123.1178353,Marpole
Papa John's Pizza,3.2,90,49.2683594,-123.185491,Kitsilano
Papa John's Pizza,4,124,49.2333626,-123.0348768,Killarney
Peaceful Restaurant,3.9,470,49.2680246,-123.1596199,Kitsilano
Peaceful Restaurant,3.8,628,49.28282,-123.1154086,Downtown
Peaceful Restaurant,3.9,544,49.2666437,-123.1037431,Mount Pleasant
Peaceful Restaurant,3.6,406,49.2333626,-123.0348768,Killarney
Peaceful Restaurant,4.1,605,49.2630941,-123.116148,Fairview
Peaked Pies,4.6,677,49.2896992,-123.1384286,West End
Pizza Garden,4.2,382,49.2750233,-123.0692198,Grandview-Woodland
Pizza Garden,4.4,617,49.280165,-123.1209115,Downtown
Pizza Garden,4.2,324,49.2581219,-123.1014093,Mount Pleasant
