name,rating,review_count,lat,lng,region
Pizza Hut,3.2,56,49.2636288,-123.2103871,West Point Grey
Pizza Hut,3.2,76,49.2682212,-123.1463332,Kitsilano
Pizza Hut,3,156,49.2909847,-123.1343667,West End
Pizza Hut,3.1,150,49.2293879,-123.0903305,Sunset
Pizza Hut,3,196,49.2544611,-123.1012989,Riley Park
Pizza Hut,3.6,325,49.2579325,-123.0459998,Renfrew-Collingwood
Pizza Hut,3.2,46,49.2255936,-123.0535762,Victoria-Fraserview
Pizza Pizza,3.9,72,49.2630472,-123.0987406,Mount Pleasant
Pizza Pizza,3.9,96,49.2727797,-123.1475462,Kitsilano
Rogue Kitchen & Wetbar,4,709,49.2876106,-123.1150993,Downtown
Rogue Kitchen & Wetbar,4,700,49.2629582,-123.1179178,Fairview
Rogue Kitchen & Wetbar,4,1678,49.2859448,-123.1122271,Downtown
Shizenya,4.4,763,49.2812366,-123.1250519,Downtown
Shizenya Restaurant on Broadway,4.4,290,49.2638726,-123.1342629,Fairview
Shizenya Restaurant on Denman,4.5,76,49.288627,-123.1400016,West End
Starbucks,4.2,234,49.2728558,-123.1476009,Kitsilano
Starbucks,4,103,49.2443368,-123.1242233,South Cambie
Starbucks,4.1,383,49.2916735,-123.1354479,West End
Starbucks,4,53,49.2853894,-123.1218372,Downtown
Starbucks,4,213,49.2872511,-123.1285596,West End
Starbucks,4.1,416,49.2694315,-123.1385811,Fairview
Starbucks,4.5,30,49.2864943,-123.1214363,Downtown
Starbucks,4,152,49.2631745,-123.1388815,Fairview
Starbucks,4.1,637,49.2873024,-123.1411053,West End
Starbucks,3.7,76,49.2878274,-123.1134453,Downtown
Starbucks,4.1,126,49.2447767,-123.1540465,Arbutus-Ridge
Starbucks,4.2,153,49.2464844,-123.1855024,Dunbar-Southlands
Starbucks,3.3,7,49.2686111,-123.1586111,Kitsilano
Starbucks,4.2,271,49.2130177,-123.1400089,Marpole
Starbucks,4,191,49.2342633,-123.1603441,Kerrisdale
Starbucks,4.4,10,49.2840402,-123.123534,West End
Starbucks,3.9,140,49.2608109,-123.1257249,Fairview
Starbucks,4,95,49.2094569,-123.1410799,Marpole
Starbucks,3.9,24,49.2861378,-123.1242371,West End
Starbucks,4,14,49.291002,-123.135255,West End
Starbucks,4.2,157,49.2643427,-123.1737366,Kitsilano
Starbucks,4.3,241,49.2859123,-123.1154132,Downtown
Starbucks,4.2,231,49.2803907,-123.1309201,West End
Starbucks,3.7,36,49.2846966,-123.1119349,Downtown
Starbucks,4.1,262,49.2105057,-123.1073653,Marpole
Starbucks,4,159,49.2730027,-123.0994833,Strathcona
Starbucks,4.2,814,49.258598,-123.1008378,Mount Pleasant
Starbucks,4.1,214,49.2627376,-123.0997805,Mount Pleasant
Starbucks,4.1,397,49.2250996,-123.0904003,Sunset
Starbucks,4,451,49.2856832,-123.0459151,Hastings-Sunrise
Starbucks,4.2,254,49.2441215,-123.0898514,Kensington-Cedar Cottage
Starbucks,3.5,13,49.291002,-123.135255,West End
Starbucks,4,266,49.2710701,-123.0877089,Strathcona
Starbucks,4,221,49.2810692,-123.0739561,Grandview-Woodland
Starbucks,3.9,243,49.2827183,-123.0856676,Strathcona
Starbucks,4,380,49.2336094,-123.0657348,Kensington-Cedar Cottage
Starbucks,3.8,259,49.2618255,-123.0684661,Kensington-Cedar Cottage
Starbucks,3.9,392,49.2619462,-123.0701175,Kensington-Cedar Cottage
Starbucks,4.1,302,49.2251112,-123.0534421,Victoria-Fraserview
Starbucks,4.3,315,49.2598109,-123.0439424,Renfrew-Collingwood
Starbucks,4.3,194,49.2063422,-123.0306051,Killarney
Starbucks,4.1,369,49.2195704,-123.0410703,Killarney
Starbucks,3.9,613,49.2813458,-123.0470199,Hastings-Sunrise
Starbucks,3.8,66,49.2321398,-123.0332299,Killarney
Starbucks,4.2,343,49.2586046,-123.0306721,Renfrew-Collingwood
Starbucks,4.1,316,49.2326922,-123.0241837,Renfrew-Collingwood
Starbucks,3.9,287,49.2845468,-123.1085117,Downtown
Starbucks,4.3,136,49.2770141,-123.1296825,Downtown
Starbucks,5,1,49.2845313,-123.1219259,West End
Starbucks,3.5,72,49.2859448,-123.1122271,Downtown
Starbucks,4,151,49.2642378,-123.114506,Mount Pleasant
Starbucks,4.2,168,49.2798197,-123.1179367,Downtown
Starbucks,4,233,49.2767332,-123.1252699,Downtown
Starbucks,3.8,151,49.2801681,-123.1271342,Downtown
Starbucks,4.1,320,49.2094201,-123.116565,Marpole
Starbucks,3.8,212,49.2878315,-123.1238165,Downtown
Starbucks,4,164,49.2748249,-123.1221591,Downtown
Starbucks,4.1,456,49.2846107,-123.1246178,West End
Starbucks,3.7,50,49.2798197,-123.1179367,Downtown
Starbucks,4.6,5,49.2084589,-123.1309027,Marpole
Starbucks,3.7,284,49.27997,-123.1072445,Downtown
Starbucks,4,79,49.2786164,-123.121477,Downtown
Starbucks,4,173,49.2735305,-123.119932,Downtown
Starbucks,4.1,189,49.2671799,-123.1131349,Mount Pleasant
Starbucks,4.1,205,49.2825685,-123.1223991,Downtown
Starbucks,3.9,139,49.2849343,-123.1179274,Downtown
Starbucks,4.2,150,49.2883284,-123.1176487,Downtown
Starbucks,3.8,86,49.2609498,-123.1171617,Fairview
Starbucks,3.9,248,49.2630492,-123.1196065,Fairview
Starbucks,4.1,299,49.2540819,-123.1148846,Riley Park
Starbucks,4.1,276,49.2793001,-123.1169541,Downtown
Starbucks,4.1,349,49.2352183,-123.1156595,Riley Park
Starbucks,3.1,11,49.2792904,-123.1169454,Downtown
Starbucks Coffee,4.2,45,49.2643427,-123.1737366,Kitsilano
Starbucks Coffee,5,1,49.2879764,-123.1407458,West End
Starbucks Vancouver Support Centre,4.7,24,49.2604041,-123.0419719,Renfrew-Collingwood
Steve's Poke Bar,4.9,60,49.2663583,-123.0841213,Strathcona
Subway,3.6,116,49.2704019,-123.1059672,Mount Pleasant
Subway,3.8,188,49.2636844,-123.0246925,Renfrew-Collingwood
Subway,3.5,81,49.2860869,-123.1255277,West End
Subway,3.5,65,49.2859441,-123.1121553,Downtown
Subway,3.4,51,49.265551,-123.1199986,Fairview
Subway,3.2,95,49.2784996,-123.115715,Downtown
Subway,3.9,66,49.2740663,-123.1222457,Downtown
Subway,3.3,37,49.2876106,-123.1150993,Downtown
Subway,3.3,25,49.2839875,-123.1124277,Downtown
Subway,2.9,34,49.2609881,-123.1164951,Fairview
Subway,3.9,136,49.2085891,-123.1197921,Marpole
Subway,4.1,137,49.2764771,-123.1189377,Downtown
Subway,4,84,49.2887242,-123.1281659,West End
Subway,3.9,126,49.2886624,-123.1168056,Downtown
Subway,3.9,208,49.2098602,-123.1165335,Marpole
Subway,3.4,112,49.279782,-123.1305038,West End
Subway,3.7,89,49.2842491,-123.1251525,West End
Subway,3.6,73,49.2766984,-123.1272004,Downtown
Subway,3.7,53,49.2561084,-123.1153776,South Cambie
Subway,4.1,168,49.2804927,-123.1219841,Downtown
Subway,2.9,94,49.263342,-123.1136908,Mount Pleasant
Subway,3.5,147,49.2823976,-123.10852,Downtown
Subway,3.3,62,49.2628388,-123.1032857,Mount Pleasant
Subway,3.1,121,49.2372491,-123.0326258,Renfrew-Collingwood
Subway,3.2,49,49.259896,-123.1013984,Mount Pleasant
Subway,3.3,148,49.2747686,-123.1002541,Downtown
Subway,4,27,49.2253779,-123.1104427,Oakridge
Subway,3.5,65,49.2332066,-123.1012969,Riley Park
Subway,3.6,146,49.2284157,-123.0908629,Sunset
Subway,3.8,69,49.2189764,-123.040185,Killarney
Subway,2.5,65,49.2484391,-123.0898488,Kensington-Cedar Cottage
Subway,4,100,49.246797,-123.0682872,Kensington-Cedar Cottage
Subway,3.6,323,49.2843504,-123.1158092,Downtown
Subway,2.7,15,49.2091519,-123.1004858,Sunset
Subway,3.4,68,49.2183554,-123.0774499,Sunset
Subway,4,49,49.2796733,-123.1264865,Downtown
Subway,3.3,12,49.2853911,-123.1215501,Downtown
Subway,3.9,180,49.2580275,-123.0449227,Renfrew-Collingwood
Subway,3.7,60,49.2624079,-123.0570455,Grandview-Woodland
Subway,3.2,101,49.2415303,-123.0578208,Renfrew-Collingwood
Subway,3,43,49.271575,-123.0950889,Strathcona
Subway,3.9,108,49.2317297,-123.0299525,Killarney
Subway,3.6,106,49.2626839,-123.0905008,Mount Pleasant
Subway,3.8,99,49.2684937,-123.1025167,Mount Pleasant
Subway,4,112,49.2261757,-123.0654783,Victoria-Fraserview
Subway,3.2,62,49.2826547,-123.0858096,Strathcona
Subway,3.7,108,49.261673,-123.070049,Kensington-Cedar Cottage
Subway,2.5,134,49.2851083,-123.0621632,Grandview-Woodland
Subway,3.6,277,49.2450022,-123.1537376,Arbutus-Ridge
Subway,3.8,95,49.280817,-123.0459715,Hastings-Sunrise
Subway,3.5,106,49.2625438,-123.1527909,Kitsilano
Subway,4.1,87,49.2779493,-123.1277607,Downtown
Subway,3.6,86,49.258004,-123.168589,Kitsilano
Subway,3.3,60,49.2909116,-123.1342368,West End
Subway,3.6,91,49.2509438,-123.1270301,South Cambie
Subway,3.7,138,49.2695242,-123.1460819,Kitsilano
Subway,3.4,54,49.2633442,-123.1329176,Fairview
Sura Korean Royal Cuisine Restaurant Vancouver,4.4,1604,49.2888077,-123.131828,West End
Thai Express,2.7,22,49.2847564,-123.1118716,Downtown
Thai Express,3.6,44,49.2876106,-123.1150993,Downtown
Thai Express,3.7,111,49.2833319,-123.1183909,Downtown
The Boathouse Restaurant,4,1285,49.2742939,-123.1536698,Kitsilano
The Boathouse Restaurant,3.9,1341,49.2053179,-123.1413113,Marpole
The Captain's Boil,3.9,883,49.2341589,-123.0352979,Renfrew-Collingwood
The Captain's Boil,4,327,49.28874,-123.130575,West End
The Flying Pig Gastown,4.2,2334,49.2837739,-123.1067002,Downtown
The Flying Pig Olympic Village,4,774,49.2694598,-123.1074993,Mount Pleasant
The Flying Pig Yaletown,4.2,1761,49.2751066,-123.1220961,Downtown
The Keg Steakhouse + Bar - Alberni,4.4,1489,49.2859529,-123.1243852,West End
The Keg Steakhouse + Bar - Dunsmuir,4.3,1874,49.2833746,-123.1164458,Downtown
The Keg Steakhouse + Bar - Granville Island,4.2,1400,49.2712624,-123.1357429,Fairview
The Keg Steakhouse + Bar - Park Royal,4.3,347,49.2782097,-123.1000098,Downtown
The Keg Steakhouse and Bar,4.4,1676,49.2766534,-123.119436,Downtown
The Meat Up Vancouver 聚点串吧温哥华,3.9,341,49.2132843,-123.1400589,Marpole
The Old Spaghetti Factory (Gastown),4.4,4981,49.2838051,-123.1053723,Downtown
Tim Hortons,3.7,57,49.2443788,-123.1241862,South Cambie
Tim Hortons,3.2,372,49.2638715,-123.1404594,Fairview
Tim Hortons,3.4,47,49.2570516,-123.1531866,Arbutus-Ridge
Tim Hortons,2.3,3,49.2798529,-123.1099283,Downtown
Tim Hortons,3.7,322,49.2347554,-123.158236,Arbutus-Ridge
Tim Hortons,3.1,51,49.273166,-123.1005314,Downtown
Tim Hortons,3.6,296,49.2639532,-123.1741984,Kitsilano
Tim Hortons,4,378,49.2255285,-123.1018874,Sunset
Tim Hortons,3.8,248,49.2799468,-123.1173288,Downtown
Tim Hortons,3.1,7,49.26081,-123.03302,Renfrew-Collingwood
Tim Hortons,3.8,544,49.2834561,-123.1152442,Downtown
Tim Hortons,3.5,506,49.2848731,-123.1210009,Downtown
Tim Hortons,3.3,332,49.2560637,-123.1855916,Dunbar-Southlands
Tim Hortons,3.6,38,49.2865667,-123.1184202,Downtown
Tim Hortons,3.2,46,49.2339113,-123.1391973,Oakridge
Tim Hortons,3.8,380,49.2857595,-123.1250009,West End
Tim Hortons,3.5,46,49.2633754,-123.1358031,Fairview
Tim Hortons,3.5,472,49.232254,-123.0311502,Renfrew-Collingwood
Tim Hortons,3.6,850,49.2387706,-123.0316897,Renfrew-Collingwood
Tim Hortons,3.8,614,49.2594166,-123.0446561,Renfrew-Collingwood
Tim Hortons,3.5,304,49.2700694,-123.0698722,Grandview-Woodland
Tim Hortons,3.6,561,49.2719599,-123.1000004,Strathcona
Tim Hortons,3.2,65,49.2489389,-123.0897526,Kensington-Cedar Cottage
Tim Hortons,3.5,123,49.2455325,-123.0647908,Kensington-Cedar Cottage
Tim Hortons,3.5,116,49.2262606,-123.1289623,Oakridge
Tim Hortons,3.7,958,49.2721092,-123.0977068,Strathcona
Tim Hortons,3.7,398,49.2793371,-123.0992115,Strathcona
Tim Hortons,3.5,134,49.2809159,-123.0278492,Hastings-Sunrise
Tim Hortons,2.5,13,49.2663718,-123.0844127,Strathcona
Tim Hortons,3.7,689,49.2807799,-123.1079494,Downtown
Tim Hortons,2.9,156,49.224025,-123.108032,Oakridge
Tim Hortons,3.8,118,49.2812914,-123.0464516,Hastings-Sunrise
Tim Hortons,3.5,314,49.2846966,-123.1119349,Downtown
Tim Hortons,4.2,9,49.2777744,-123.1085205,Downtown
Tim Hortons,3.7,475,49.2870226,-123.1283048,West End
Tim Hortons,3.8,784,49.277594,-123.1272102,Downtown
Tim Hortons,3.4,675,49.2792582,-123.1227269,Downtown
Tim Hortons,3.7,719,49.2876106,-123.1150993,Downtown
Tim Hortons,3.6,180,49.2658061,-123.1224204,Fairview
Tim Hortons,3.9,519,49.2311245,-123.0903848,Sunset
Tim Hortons,3.4,447,49.2635355,-123.1233966,Fairview
Tim Hortons,3,199,49.2493977,-123.1157883,South Cambie
Tim Hortons,3.7,187,49.2330736,-123.065215,Kensington-Cedar Cottage
Tim Hortons,4.2,22,49.2874843,-123.1216047,Downtown
Tim Hortons,3.5,419,49.209288,-123.11662,Marpole
Tim Hortons,3.8,275,49.2848864,-123.1157445,Downtown
Tim Hortons,3.7,293,49.2861102,-123.1163068,Downtown
Triple O's,4,302,49.2108687,-123.102592,Sunset
Triple O's,3.6,13,49.2777744,-123.1085205,Downtown
Triple O's,3.7,218,49.2727768,-123.1473684,Kitsilano
Triple O's Bentall Center,3.7,66,49.2864943,-123.1214363,Downtown
Triple O's CBC,4,378,49.2794387,-123.1142338,Downtown
Triple O's Grandview Highway,4,332,49.2584656,-123.0280866,Renfrew-Collingwood
Triple O's Langara College,3.2,22,49.224025,-123.108032,Oakridge
Triple O's PNE,3.1,108,49.2860651,-123.036971,Hastings-Sunrise
Triple O's Pacific Coliseum,4.4,40,49.285843,-123.0426334,Hastings-Sunrise
Triple O's Pacific Coliseum,4.4,40,49.285843,-123.0426334,Hastings-Sunrise
Triple O's Science World,3.1,75,49.272298,-123.1020829,Mount Pleasant
Uncle Fatih's Pizza - ABBOTT,4.2,581,49.279251,-123.1074646,Downtown
Uncle Fatih's Pizza - CAMBIE,4.2,347,49.2640751,-123.1140519,Mount Pleasant
Uncle Fatih's Pizza - COMMERCIAL,4.2,612,49.2624865,-123.0701321,Grandview-Woodland
Uncle Fatih's Pizza - KITSLANO,4.2,250,49.2639585,-123.1677051,Kitsilano
Uncle Fatih's Pizza - NELSON,4.2,523,49.278908,-123.1221915,Downtown
Vera's Burger Shack,4,320,49.2725945,-123.148281,Kitsilano
Vera's Burger Shack,4.3,632,49.2794934,-123.13008,West End
Vera's Burger Shack,4.3,386,49.2589048,-123.1008504,Mount Pleasant
WINGS Granville,3.7,717,49.277425,-123.125514,Downtown
Wendy's,3.9,1101,49.2118873,-123.1061557,Sunset
Wendy's,3.8,1651,49.2636949,-123.1144896,Mount Pleasant
Wendy's,3.7,614,49.2719559,-123.1000013,Strathcona
Wendy's,3.7,1894,49.2577852,-123.0243352,Renfrew-Collingwood
Wendy's Hair Salon,3.7,26,49.2574455,-123.0339892,Renfrew-Collingwood
Wendy's Top Tailor - Alteration and Dry Cleaning,4.3,22,49.276215,-123.1153819,Downtown
White Spot (Coast Hotel),3.6,484,49.2048294,-123.130886,Marpole
White Spot Cardero,4,1162,49.2908118,-123.1316086,West End
White Spot Dunsmuir,4.2,1268,49.2819406,-123.1135203,Downtown
White Spot Dunsmuir,4.2,1268,49.2819406,-123.1135203,Downtown
White Spot Granville & Drake,3.6,353,49.2761619,-123.1282952,Downtown
White Spot Kerrisdale,3.8,585,49.2376685,-123.1556307,Kerrisdale
White Spot Kingsway,4.1,1098,49.2489856,-123.0742081,Kensington-Cedar Cottage
White Spot Marine Drive,3.7,926,49.2105107,-123.0833322,Sunset
White Spot Oakridge,3.9,817,49.2333095,-123.1175731,Oakridge
ZUBU Ramen - Kerrisdale,3.7,48,49.2348065,-123.1563953,Arbutus-Ridge
ZUBU Ramen - Park Royal,4.4,52,49.277818,-123.0995477,Strathcona